seqid,uniprot
SeqId_12581_39,O14732
SeqId_12583_77,P10398
SeqId_12585_39,P07992
SeqId_12587_65,P36404
SeqId_12590_67,Q99LC4
SeqId_12591_27,O60890
SeqId_12593_33,Q9NUG6
SeqId_12594_5,P28676
SeqId_12595_11,P28289
SeqId_12597_68,Q9H1Y0
SeqId_12599_10,Q86UX7
SeqId_12603_87,Q13310
SeqId_12604_16,Q96GD3
SeqId_12605_1,Q9NQT5
SeqId_12612_37,P20618
SeqId_12616_45,Q9UHY1
SeqId_12617_2,Q9Y6E0
SeqId_12618_50,Q04828
SeqId_12619_14,P35813
SeqId_12620_3,Q9NVA2
SeqId_12621_55,P30153
SeqId_12622_96,Q9NR48
SeqId_12623_84,Q92833
SeqId_12625_138,Q8IXQ5
SeqId_12626_6,Q9BQF6
SeqId_12627_97,O95352
SeqId_12628_31,Q9NS86
SeqId_12630_8,P53365
SeqId_12632_14,P18440
SeqId_12633_3,P43378
SeqId_12634_79,O75815
SeqId_12635_9,O14717
SeqId_12636_113,Q9NRG4
SeqId_12637_7,P43155
SeqId_12641_3,P32019
SeqId_12643_4,P49407
SeqId_12644_63,P30520
SeqId_12646_2,Q96AT9
SeqId_12647_52,Q9BYW2
SeqId_12650_43,P08754
SeqId_12651_21,Q15119
SeqId_12652_37,O43865
SeqId_12653_13,P78368
SeqId_12655_30,Q9H115
SeqId_12656_1,Q07866
SeqId_12657_2,Q13630
SeqId_12658_72,Q9H999
SeqId_12659_13,Q9NTK5
SeqId_12661_44,Q9H0R8
SeqId_12662_82,Q13011
SeqId_12663_1,Q16762
SeqId_12664_19,Q12923
SeqId_12665_16,Q12905
SeqId_12667_2,Q9Y2T3
SeqId_12668_7,O75351
SeqId_12669_30,Q76N89
SeqId_12670_15,O60671
SeqId_12671_35,O43704
SeqId_12675_14,P14868
SeqId_12676_1,Q9BY11
SeqId_12677_164,Q13045
SeqId_12678_66,P09012
SeqId_12681_63,Q9UK80
SeqId_12682_5,Q6YP21
SeqId_12683_156,Q9BPU6
SeqId_12684_5,Q9Y6U3
SeqId_12685_57,Q9NSB8
SeqId_12686_15,P25325
SeqId_12687_2,Q16698
SeqId_12688_115,Q9UK32
SeqId_12689_56,O15143
SeqId_12690_33,Q9P0V9
SeqId_12691_44,P34897
SeqId_12692_56,Q8TEK3
SeqId_12693_2,O75368
SeqId_12694_28,Q9UNQ2
SeqId_12695_62,Q53G59
SeqId_12696_166,O60678
